Unnamed: 0,HSN_code,name_of_commodity,chapter_no,sch,gst
4614,4819.00.00,Used Carton,48.0,III,12%
4615,4819.00.00,Waste Carton,48.0,III,12%
4616,4819.10.00,"Cartons, boxes and cases, of corrugated paper
or paperboard:",48.0,III,12%
4617,4819.10.00,Used Carton,48.0,III,12%
4618,4819.10.00,Waste Carton,48.0,III,12%
4619,4819.10.10,Boxes,48.0,III,12%
4620,4819.10.90,Boxes : Other,48.0,III,12%
4621,4819.20.00,"Folding cartons, boxes and cases, of non-
corrugated paper or paperboard",48.0,III,12%
4622,4819.20.10,"Cartons, boxes cases intended for the packing
of match sticks",48.0,III,12%
4623,4819.20.20,Boxes,48.0,III,12%
4624,4819.20.90,Boxes: Other,48.0,III,12%
4625,4819.40.00,"Other sacks and bags, including cones",48.0,III,12%
4626,4819.50.00,"Other packing containers, including record
sleeves",48.0,III,12%
4627,4819.50.10,"Other packing containers including record
sleeves made of corrugated paper or
paperboard",48.0,III,12%
4628,4819.60.00,"Box files, letter trays, storage boxes and
similar articles, of a kind used in offices, shops
or the like",48.0,III,12%
4629,4820.00.00,"Exercise book, graph book, & laboratory note
book",48.0,III,12%
4630,4820.00.00,"Registers, account books, note books, order
books, receipt books, letter pads,
memorandum pads, diaries and similar
articles, blotting-pads, binders (loose-leaf or
other), folders, file covers, manifold business
forms, interleaved carbon sets and other
articles of stationery, of paper or paperboard;
[including albums for samples or for",48.0,IV,18%
4631,4820.10.00,"Registers, account books, notebooks, order
books, receipt books, letter pads,
memorandum pads, dairies and similar articles",48.0,IV,18%
4632,4820.10.10,"Registers, Account Books",48.0,IV,18%
4633,,,,,
4634,4820.10.90,"Note books, order books, Receipt books,
Letter pads, Dairies, Short handbook and local
delevery books, Office files, computer files
and similar articles.",48.0,IV,18%
4635,4820.20.00,Exercise books,48.0,III,12%
4636,4820.30.00,"Binders (other than book covers), folders and
file covers",48.0,IV,18%
4637,4820.30.00,Folders and File Covers,48.0,IV,18%
4638,4820.30.00,"Office files & Folders made of paper board &
plastic",48.0,IV,18%
4639,4820.30.00,Office files and Folders,48.0,IV,18%
4640,4820.40.00,"Manifold business forms and interleaved
carbon sets",48.0,IV,18%
4641,4820.50.00,Albums for samples or for collections,48.0,IV,18%
4642,4820.50.00,Photo Albums,48.0,IV,18%
4643,4820.50.00,Photo Albums,48.0,IV,18%
4644,4820.90.00,Albums for samples or for collections: Other,48.0,IV,18%
4645,4820.90.90,"Graph book, Laboratory Note book",48.0,III,12%
4646,4821.00.00,"Paper or paperboard labels of all kinds,
whether or not printed",48.0,IV,18%
4647,4821.10.10,Printed paper tags,48.0,IV,18%
4648,4821.10.20,Printed lablels,48.0,IV,18%
4649,4822.00.00,"Bobbins, spools, cops and similar supports of
paper pulp, paper or paperboard (whether or
not perforated or hardened)",48.0,IV,18%
4650,4822.90.00,"Bobbins, spools etc. Of pap pulp, paper &
paperboard: Other",48.0,IV,18%
4651,4823.00.00,Paper pulp moulded trays; Braille paper; Kites,48.0,III,12%
4652,4823.00.00,"Other paper, paperboard, cellulose wadding
and webs of cellulose fibres, cut to size or
shape; other articles of paper pulp, paper,
paperboard, cellulose wadding or webs of
cellulose fibres [other than paper pulp
moulded trays]",48.0,IV,18%
4653,4823.11.00,Self-adhesive (pressure sensitive),48.0,IV,18%
4654,4823.12.00,Paper self-adhesive tape,48.0,IV,18%
4655,4823.19.00,Paper self-adhesive tape: Other,48.0,IV,18%
4656,4823.20.00,Filter paper and paperboard:,48.0,IV,18%
4657,4823.30.00,"Cards, not punched, for punch card machines,
whether or not in strips",48.0,IV,18%
4658,,,,,
4659,4823.40.00,"Rolls, sheets and dials, printed for self-
recording apparatus other paper and
paperboard, of a kind used for writing,
printing or other graphic purposes:",48.0,IV,18%
4660,4823.51.00,"Printed, embossed or perforated",48.0,IV,18%
4661,4823.59.00,"Printed, embossed or perforated: Other",48.0,IV,18%
4662,4823.60.00,"Trays, dishes, plates, cups and the like, of
paper or paperboard",48.0,IV,18%
4663,4823.70.10,Paper Pulp moulded trays,48.0,III,12%
4664,4823.70.20,Wood pulp board,48.0,IV,18%
4665,4823.70.30,"Artilces made of paper mache other than
artware and moulded or pressed goods of
woold pulp",48.0,IV,18%
4666,4823.70.90,Clip boards,48.0,IV,18%
4667,4823.90.00,Clip boards: Other,48.0,IV,18%
4668,4823.90.11,Brailee Paper,48.0,III,12%
4669,4823.90.21,Pre-punched cards,48.0,IV,18%
4670,4800.00.00,"Paper splints for matches, whether or not
waxed, Asphaltic roofing sheets.",48.0,III,12%
4671,4901.00.00,Printed books including Braille books,49.0,I,NIL
4672,4901.00.00,"Brochures, leaflets and similar printed matter,
whether or not in single sheets",49.0,II,5%
4673,4901.10.10,"Printed books, periodicals and journals meant
for reading; In single sheets, whether or not
folded",49.0,I,NIL
4674,4901.10.20,"Pamphlets booklets, brochures, leaflets and
similar printed matter",49.0,II,5%
4675,4901.91.00,"Dictionaries and encyclopedias, and serial
installments thereof",49.0,I,NIL
4676,4902.00.00,"Newspapers, journals and periodicals,
whether or not illustrated or containing
advertising material .",49.0,I,NIL
4677,4902.10.00,Appearing at least four times a week,49.0,I,NIL
4678,4902.90.00,Appearing at least four times a week: Other,49.0,I,NIL
4679,4903.00.00,"Children's picture, drawing or coloring books",49.0,III,12%
4680,4904.00.00,"Music, printed or in manuscript, whether or
not bound or illustrated",49.0,III,12%
4681,4905.00.00,"Maps and hydrographic or similar charts of all
kinds, including atlases, wall maps,
topographical plans and globes, printed",49.0,I,NIL
4682,,,,,
4683,4906.00.00,"Plans and drawings for architectural,
engineering, industrial, commercial,
topographical or similar purposes, being
originals drawn by hand; hand-written texts;
photographic reproductions on sensitised
paper and carbon copies of the foregoing.",49.0,III,12%
4684,4907.00.00,"Unused postage, revenue or similar stamps of
current or new issue in the country in which
they have, or will have, a recognized face
value; stamp-impressed paper; bank notes;
cheque forms; stock, share or bond
certificates and similar documents of title
unused postage, revenue or similar stamps
ofcurrent or new issue in the country in which
theyhave, or will have, a recognized face
value; stamp-impressed paper; bank notes;
chequeforms; stock, share or bond certificates
and similar documents of title",49.0,III,12%
4685,4908.00.00,Transfers (decalcomanias),49.0,III,12%
4686,4908.10.00,"Transfers (decalcomanias), vitrifiable",49.0,III,12%
4687,4908.90.00,"Transfers (decalcomanias), vitrifiable: Other",49.0,III,12%
4688,4909.00.00,"Printed or illustrated postcards; printed cards
bearing personal greetings, messages or
announcements, whether or not illustrated,
with or without envelopesor trimmings.",49.0,III,12%
4689,4910.00.00,"Calendars of any kind, printed, including
calendar blocks - calendars of any kind,
printed, including calendar blocks",49.0,III,12%
4690,4911.00.00,"Other printed matter, including printed
pictures and photographs; such as Trade
advertising material, Commercial catalogues
and the like, printed Posters, Commercial
catalogues, Printed inlay cards, Pictures,
designs and photographs, Plan and drawings
for architectural engineering, industrial,
commercial, topographical or similar purposes
reproduced with the aid of computer or any
other devices.",49.0,III,12%
4691,,,,,
4692,4911.10.00,"Trade advertising material, commercial
catalogs and the like",49.0,III,12%
4693,4911.91.00,"Pictures, designs and photographs",49.0,III,12%
4694,4911.99.00,"Pictures, designs and photographs: Other",49.0,III,12%
4695,5001.00.00,Silkworm cocoons suitable for reeling,50.0,"yet to
be
notifed",--
4696,5001.00.00,Silk-worm cocoons suitable for reeling,50.0,"yet to
be
notifed",--
4697,5002.00.00,Raw silk (not thrown),50.0,"yet to
be
notifed",--
4698,5002.00.00,Raw silk (not thrown),50.0,"yet to
be
notifed",--
4699,5002.00.10,Mulberry raw silk,50.0,"yet to
be
notifed",--
4700,5002.00.20,Mulberry dupion silk,50.0,"yet to
be
notifed",--
4701,5002.00.30,Non-murberry silk,50.0,"yet to
be
notifed",--
4702,5003.00.00,"Silk waste, including silk yarn waste etc.",50.0,"yet to
be
notifed",--
4703,5003.10.00,Silk waste (not carded or combed),50.0,"yet to
be
notifed",--
4704,5003.90.00,Other silk waste,50.0,"yet to
be
notifed",--
4705,5004.00.00,"Silk yarn (other than yarn spun from silk
waste)",50.0,"yet to
be
notifed",--
4706,5004.00.00,"Silk yarn, not spun from waste, not retail
packed",50.0,"yet to
be
notifed",--
4707,5005.00.00,"Yarn spun from silk waste not put up for retail
sale",50.0,"yet to
be
notifed",--
4708,5005.00.00,"Yarn spun from silk waste, not put up for
retail sale",50.0,"yet to
be
notifed",--
4709,,,,,
4710,5006.00.00,"Silk yarn & yarn from waste put up for ret,
silkworm gut",50.0,"yet to
be
notifed",--
4711,5006.00.00,"Silk yarn and yarn spun from silk waste; silk
worm gut",50.0,"yet to
be
notifed",--
4712,5007.00.00,Woven fabrics of silk or silk waste,50.0,"yet to
be
notifed",--
4713,5007.10.00,Fabrics of noil silk,50.0,"yet to
be
notifed",--
4714,5007.20.00,"Other woven fabrics of silk (silk content 85%
or more",50.0,"yet to
be
notifed",--
4715,5007.90.00,Other woven fabrics of silk or of silk waste,50.0,"yet to
be
notifed",--
4716,5101.00.00,"Wool, not carded or combed",51.0,"yet to
be
notifed",--
4717,5101.11.00,Shorn wool (greasy; not carded or combed),51.0,"yet to
be
notifed",--
4718,5101.19.00,Other greasy wool (not carded or combed),51.0,"yet to
be
notifed",--
4719,5101.21.00,"Shorn wool (degreased; not carbonised; not
carded or combed)",51.0,"yet to
be
notifed",--
4720,5101.29.00,"Other degreased wool (not carbonised; not
carded or combed)",51.0,"yet to
be
notifed",--
4721,5101.30.00,Carbonised wool (not carded or combed),51.0,"yet to
be
notifed",--
4722,5102.00.00,"Fine or coarse animal hair, not carded or
combed",51.0,"yet to
be
notifed",--
4723,5102.10.00,Fine animal hair (not carded or combed),51.0,"yet to
be
notifed",--
4724,5102.20.00,Coarse animal hair (not carded or combed),51.0,"yet to
be
notifed",--
4725,,,,,
4726,5103.00.00,Waste of wool or of fine or coarse animal hair,51.0,"yet to
be
notifed",--
4727,5103.10.00,Noils of wool or of fine animal hair,51.0,"yet to
be
notifed",--
4728,5103.20.00,Other waste of wool or of fine animal hair,51.0,"yet to
be
notifed",--
4729,5103.30.00,Waste of coarse animal hair,51.0,"yet to
be
notifed",--
4730,5104.00.00,"Garnetted stock of wool or of fine or coarse
animal hair",51.0,"yet to
be
notifed",--
4731,5104.00.00,"Garnetted stock of wool/fine or coarse animal
hair",51.0,"yet to
be
notifed",--
4732,5105.00.00,"Wool & fine or coarse animal hair, carded &
combed",51.0,"yet to
be
notifed",--
4733,5105.10.00,Carded wool,51.0,"yet to
be
notifed",--
4734,5105.21.00,Combed wool in fragments,51.0,"yet to
be
notifed",--
4735,5105.29.00,Wool tops,51.0,"yet to
be
notifed",--
4736,5105.30.00,"Fine animal hair, carded or combed",51.0,"yet to
be
notifed",--
4737,5105.40.00,"Coarse animal hair, carded or combed",51.0,"yet to
be
notifed",--
4738,5106.00.00,"Yarn of carded wool, not put up for retail sale",51.0,"yet to
be
notifed",--
4739,5106.10.00,"Yarn of carded wool(wool content 85% or
more; not put up for retail sale)",51.0,"yet to
be
notifed",--
4740,5106.20.00,"Yarn of carded wool (wool content less than
85%; not put up for retail sale)",51.0,"yet to
be
notifed",--
4741,,,,,
4742,5107.00.00,"Yarn of combed wool, not put up for retail sale",51.0,"yet to
be
notifed",--
4743,5107.10.00,"Yarn of combed wool (wool content 85% or
more; not put up for retail sale)",51.0,"yet to
be
notifed",--
4744,5107.20.00,"Yarn of combed wool (wool content less than
85%; not put up forretail sale)",51.0,"yet to
be
notifed",--
4745,5108.00.00,"Yarn of fine animal hair, not for retail sale",51.0,"yet to
be
notifed",--
4746,5108.10.00,"Yarn of fine animal hair (carded; not put up
for retail sail)",51.0,"yet to
be
notifed",--
4747,5108.20.00,"Yarn of fine animal hair (carded; not put up
for retail sail)",51.0,"yet to
be
notifed",--
4748,5108.31.00,"Plain woven fabrics of cotton (cotton 85% or
more; dyed; not more than 100g/m2)",51.0,"yet to
be
notifed",--
4749,5108.32.00,"Plain woven fabrics of cotton (cotton 85% or
more; dyed; 100g-200g/m2)",51.0,"yet to
be
notifed",--
4750,5109.00.00,"Yarn of wool or fine animal hair, for retail sale",51.0,"yet to
be
notifed",--
4751,5109.10.00,"Yarn of wool or fine animal hair (wool content
85% or more)",51.0,"yet to
be
notifed",--
4752,5109.10.10,Knitting wool,51.0,"yet to
be
notifed",--
4753,5109.90.00,"Yarn of wool or fine animal hair (wool content
less than 85%)",51.0,"yet to
be
notifed",--
4754,5110.00.00,"Yarn coarse animal hair put up or not retail
sale",51.0,"yet to
be
notifed",--
4755,5110.00.00,"Yarn of coarse animal hair or of horsehair
(including gimped horsehair yarn)",51.0,"yet to
be
notifed",--
4756,5111.00.00,"Woven fabrics of carded wool or fine animal
hair",51.0,"yet to
be
notifed",--
4757,,,,,
4758,5111.11.00,"Woven fabrics (containing 85% or more of
carded wool or fine animal hair)",51.0,"yet to
be
notifed",--
4759,5111.19.00,"Other woven fabrics (containing 85% or more
of carded wool or fine animal hair)",51.0,"yet to
be
notifed",--
4760,5111.20.00,"Woven fabrics of carded wool or fine animal
hair (mixed with man-made filaments)",51.0,"yet to
be
notifed",--
4761,5111.30.00,"Woven fabrics of carded wool or fine animal
hair (mixed with man-made staple fibres)",51.0,"yet to
be
notifed",--
4762,5111.90.00,"Other woven fabrics of carded wool or fine
animal hair",51.0,"yet to
be
notifed",--
4763,5112.00.00,"Woven fabrics of combed wool or fine animal
hair",51.0,"yet to
be
notifed",--
4764,5112.11.00,"Woven fabrics (containing 85% or more of
combed wool or fine animal hair)",51.0,"yet to
be
notifed",--
4765,5112.19.00,"Other woven fabrics (containing 85% or more
of combed wool or fine animal hair)",51.0,"yet to
be
notifed",--
4766,5112.20.00,"Woven fabrics of combed wool or fine animal
hair (mixed with man-made filaments)",51.0,"yet to
be
notifed",--
4767,5112.30.00,"Woven fabrics of combed wool or fine animal
hair (mixed with man-made staple fibres)",51.0,"yet to
be
notifed",--
4768,5112.90.00,"Other woven fabrics of combed wool or fine
animal hair",51.0,"yet to
be
notifed",--
4769,5113.00.00,"Woven fabrics of coarse animal hair or
horsehair",51.0,"yet to
be
notifed",--
4770,5113.00.00,"Woven fabrics of coarse animal hair or of
horsehair",51.0,"yet to
be
notifed",--
4771,5201.00.00,Cotton (not carded or combed),52.0,"yet to
be
notifed",--
4772,5201.00.00,"Cotton, not carded or combed",52.0,"yet to
be
notifed",--
4773,,,,,
4774,5202.00.00,Cotton waste (including yarn waste etc.),52.0,"yet to
be
notifed",--
4775,5202.10.00,Yarn waste of cotton (including thread waste),52.0,"yet to
be
notifed",--
4776,5202.91.00,Garnetted stock of cotton,52.0,"yet to
be
notifed",--
4777,5202.99.00,Other waste of cotton,52.0,"yet to
be
notifed",--
4778,5203.00.00,"Cotton, carded or combed",52.0,"yet to
be
notifed",--
4779,5203.00.00,"Cotton, carded or combed",52.0,"yet to
be
notifed",--
4780,5204.00.00,"Cotton sewing thread, retail packed or not",52.0,"yet to
be
notifed",--
4781,5204.11.00,"Cotton sewing thread (cotton content 85% or
more; not put up for retail sale)",52.0,"yet to
be
notifed",--
4782,5204.19.00,"Other cotton sewing thread (not put up for
retail sale)",52.0,"yet to
be
notifed",--
4783,5204.20.00,Cotton sewing thread (put up for retail sale),52.0,"yet to
be
notifed",--
4784,5205.00.00,"Cotton yarn (not sewing thread) nu 85% cot
no retail",52.0,"yet to
be
notifed",--
4785,5205.11.00,"Cotton yarn (uncombed cotton 85% or more;
714.29 decitex or more)",52.0,"yet to
be
notifed",--
4786,5205.12.00,"Cotton yarn (uncombed cotton 85% or more;
714.29-232.56decitex)",52.0,"yet to
be
notifed",--
4787,5205.13.00,"Cotton yarn (uncombed cotton 85% or more;
232.56-192.31 decitex)",52.0,"yet to
be
notifed",--
4788,5205.14.00,"Cotton yarn (uncombed cotton 85% or more;
192.31-125 decitex)",52.0,"yet to
be
notifed",--
4789,,,,,
4790,5205.15.00,"Cotton yarn (uncombed cotton 85% or more;
less than 125 decitex)",52.0,"yet to
be
notifed",--
4791,5205.21.00,"Cotton yarn (combed cotton 85% or more;
714.29 decitex or more)",52.0,"yet to
be
notifed",--
4792,5205.22.00,"Cotton yarn (combed cotton 85% or more;
714.29-232.56 decitex)",52.0,"yet to
be
notifed",--
4793,5205.23.00,"Cotton yarn (combed cotton 85 or more;
232.56-192.31 decitex)",52.0,"yet to
be
notifed",--
4794,5205.24.00,"Cotton yarn (combed cotton 85% or more;
192.31-125 decitex)",52.0,"yet to
be
notifed",--
4795,5205.25.00,"Cotton yarn (combed cotton 85% or more;
less than 125 decitex)",52.0,"yet to
be
notifed",--
4796,5205.31.00,"Cotton yarn (multiple yarn, per single yarn
714.29 decitex or more)",52.0,"yet to
be
notifed",--
4797,5205.32.00,"Cotton yarn (multiple yarn, per single yarn
714.29-232.56 decitex)",52.0,"yet to
be
notifed",--
4798,5205.33.00,"Cotton yarn (multiple yarn, per single yarn
232.56~192.31 decitex)",52.0,"yet to
be
notifed",--
4799,5205.34.00,"Cotton yarn (multiple yarn, per single yarn
192.31~125 decitex)",52.0,"yet to
be
notifed",--
4800,5205.35.00,"Cotton yarn (multiple yarn, per single yarn
less than 125 decitex)",52.0,"yet to
be
notifed",--
4801,5205.41.00,"Cotton yarn (multiple yarn, per single yarn
714.29 decitex or more)",52.0,"yet to
be
notifed",--
4802,5205.42.00,"Cotton yarn (multiple yarn, per single yarn
714.29-232.56 decitex)",52.0,"yet to
be
notifed",--
4803,5205.43.00,"Cotton yarn (multiple yarn, per single yarn
232.56-192.31 decitex)",52.0,"yet to
be
notifed",--
4804,5205.44.00,"Cotton yarn (multiple yarn, per single yarn
192.31-125 decitex)",52.0,"yet to
be
notifed",--
4805,,,,,
4806,5205.45.00,"Cotton yarn (multiple yarn, per single yarn
less than 125 decitex)",52.0,"yet to
be
notifed",--
4807,5206.00.00,"Cotton yarn (not sewing thread) un 85% cot
no retail",52.0,"yet to
be
notifed",--
4808,5206.11.00,"Cotton yarn (uncombed cotton less than 85%;
714.29 decitex or more)",52.0,"yet to
be
notifed",--
4809,5206.12.00,"Cotton yarn (uncombed cotton less than 85%;
714.29-232.56decitex)",52.0,"yet to
be
notifed",--
4810,5206.13.00,"Cotton yarn (uncombed cotton less than 85%;
232.56-192.31decitex)",52.0,"yet to
be
notifed",--
4811,5206.14.00,"Cotton yarn (uncombed cotton less than 85%;
192.31-125 decitex)",52.0,"yet to
be
notifed",--
4812,5206.15.00,"Cotton yarn (uncombed cotton less than 85%;
less than 125 decitex)",52.0,"yet to
be
notifed",--
4813,5206.21.00,"Cotton yarn (combed cotton less than 85%;
714.29 decitex or more)",52.0,"yet to
be
notifed",--
4814,5206.22.00,"Cotton yarn (combed cotton less than 85%;
714.29-232.56 decitex)",52.0,"yet to
be
notifed",--
4815,5206.23.00,"Cotton yarn (combed cotton less than 85%;
232.6-192.31decitex)",52.0,"yet to
be
notifed",--
4816,5206.24.00,"Cotton yarn (combed cotton less than 85%;
192.31-125 decitex)",52.0,"yet to
be
notifed",--
4817,5206.25.00,"Cotton yarn (combed cotton less than 85%;
less than 125 decitex)",52.0,"yet to
be
notifed",--
4818,5206.31.00,"Cotton yarn (multiple yarn, per single yarn
714.29 decitex or more)",52.0,"yet to
be
notifed",--
4819,5206.32.00,"Cotton yarn (multiple yarn, per single yarn
714.29-232.56 decitex)",52.0,"yet to
be
notifed",--
4820,5206.33.00,"Cotton yarn (multiple yarn, per single yarn
232.56-192.31 decitex)",52.0,"yet to
be
notifed",--
4821,,,,,
4822,5206.34.00,"Cotton yarn (multiple yarn, per single yarn
192.31~125 decitex)",52.0,"yet to
be
notifed",--
4823,5206.35.00,"Cotton yarn (multiple yarn, single yarn less
than 125 decitex)",52.0,"yet to
be
notifed",--
4824,5206.41.00,"Cotton yarn (multiple yarn, per single yarn
714.29decitex or more)",52.0,"yet to
be
notifed",--
4825,5206.42.00,"Cotton yarn (multiple yarn, per single yarn
714.29-232.56 decitex)",52.0,"yet to
be
notifed",--
4826,5206.42.00,"Cotton yarn (multiple yarn, per single yarn
714.29-232.56 decitex)",52.0,"yet to
be
notifed",--
4827,5206.43.00,"Cotton yarn (multiple yarn, per single yarn
232.56-192.31 decitex)",52.0,"yet to
be
notifed",--
4828,5206.44.00,"Cotton yarn (multiple yarn, per single yarn
192.31-125decitex)",52.0,"yet to
be
notifed",--
4829,5206.45.00,"Cotton yarn (multiple yarn, per single yarn
less than 125 decitex)",52.0,"yet to
be
notifed",--
4830,5207.00.00,Cotton yarn (not sewing thread) retail packed,52.0,"yet to
be
notifed",--
4831,5207.10.00,"Cotton yarn (cotton content 85% or more, put
up for retail sale)",52.0,"yet to
be
notifed",--
4832,5207.90.00,"Cotton yarn (cotton content less than 85%;
put up for retail sale)",52.0,"yet to
be
notifed",--
4833,5208.00.00,"Woven cotton fabrics, nu 85% cot, wt n/ov
200 g/m2",52.0,"yet to
be
notifed",--
4834,5208.11.00,"Plain woven fabrics of cotton (cotton 85% or
more; not more than 100g/m2; unbleached)",52.0,"yet to
be
notifed",--
4835,5208.12.00,"Plain woven fabrics of cotton (cotton 85% or
more, 100g-200g/m2; unbleached)",52.0,"yet to
be
notifed",--
4836,5208.13.00,"Twill woven fabrics of cotton (cotton 85% or
more; not more than 200g/m2; unbleached)",52.0,"yet to
be
notifed",--
4837,,,,,
4838,5208.19.00,"Other woven fabrics of cotton (cotton 85% or
more; not more than 200g/m2; unbleached)",52.0,"yet to
be
notifed",--
4839,5208.21.00,"Plain woven fabrics of cotton (cotton 85% or
more; not more than 100g/m2; bleached)",52.0,"yet to
be
notifed",--
4840,5208.22.00,"Plain woven fabrics of cotton (cotton 85% or
more; 100g-200g/m2; bleached)",52.0,"yet to
be
notifed",--
4841,5208.23.00,"Twill woven fabrics of cotton (cotton 85% or
more; not more than 200g/m2; bleached)",52.0,"yet to
be
notifed",--
4842,5208.29.00,"Other woven fabrics of cotton(cotton 85% or
more; not more than 200g/m2; bleached)",52.0,"yet to
be
notifed",--
4843,5208.31.00,"Plain woven fabrics of cotton (cotton 85% or
more; dyed; not more than 100g/m2)",52.0,"yet to
be
notifed",--
4844,5208.32.00,"Plain woven fabrics of cotton (cotton 85% or
more; dyed; 100g-200g/m2)",52.0,"yet to
be
notifed",--
4845,5208.33.00,"Twill woven fabrics of cotton (cotton 85% or
more; dyed; not more than 200g/m2)",52.0,"yet to
be
notifed",--
4846,5208.39.00,"Other woven fabrics of cotton (cotton 85% or
more; dyed; not more than 200g/m2)",52.0,"yet to
be
notifed",--
4847,5208.41.00,"Plain woven fabrics of cotton (cotton 85% or
more; yarn of different color; not more than
100g/m2",52.0,"yet to
be
notifed",--
4848,5208.42.00,"Plain woven fabrics of cotton (cotton 85% or
more; yarn of different color; 100g-200g/m2)",52.0,"yet to
be
notifed",--
4849,5208.43.00,"Twill woven fabrics of cotton (cotton 85% or
more; yarn of different color; not more than
200g/m2",52.0,"yet to
be
notifed",--
4850,5208.49.00,"Other woven fabrics of cotton (cotton 85% or
more; yarn of different color; not more than
200g/m2",52.0,"yet to
be
notifed",--
4851,5208.51.00,"Plain woven fabrics of cotton (cotton 85% or
more; printed; not more than 100g/m2)",52.0,"yet to
be
notifed",--
4852,5208.52.00,"Plain woven fabrics of cotton cotton 85% or
more; printed; 100g-200g/m2)",52.0,"yet to
be
notifed",--
4853,,,,,
4854,5208.53.00,"Twill woven fabrics of cotton (cotton 85% or
more; printed; not more than 200g/m2)",52.0,"yet to
be
notifed",--
4855,5208.59.00,"Other woven fabrics of cotton (cotton 85% or
more; printed; not more than 200g/m2)",52.0,"yet to
be
notifed",--
4856,5209.00.00,"Woven cotton fabrics, nu 85% cot, wt ov 200
g/m2",52.0,"yet to
be
notifed",--
4857,5209.11.00,"Plain woven fabrics of cotton (unbleached;
cotton 85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4858,5209.12.00,"Twill woven fabrics of cotton (unbleached;
cotton 85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4859,5209.19.00,"Other woven fabrics of cotton (unbleached;
cotton 85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4860,5209.21.00,"Plain woven fabrics of cotton (bleached;
cotton 85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4861,5209.22.00,"Twill woven fabrics of cotton (bleached;
cotton 85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4862,5209.29.00,"Other woven fabrics of cotton (bleached;
cotton 85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4863,5209.31.00,"Plain woven fabrics of cotton (dyed; cotton
85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4864,5209.32.00,"Twill woven fabrics of cotton (dyed; cotton
85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4865,5209.39.00,"Other woven fabrics of cotton (dyed; cotton
85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4866,5209.41.00,"Plain woven fabrics of cotton (yarn of different
color; cotton 85% or more; more than
200g/m2)",52.0,"yet to
be
notifed",--
4867,5209.42.00,"Denim (yarn of different color; cotton 85% or
more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4868,5209.43.00,"Twill woven fabrics of cotton (yarn of different
color; cotton 85% or more; more than
200g/m2)",52.0,"yet to
be
notifed",--
4869,,,,,
4870,5209.49.00,"Other woven fabrics of cotton (yarn of
different color; cotton 85% or more; more
than 200g/m2)",52.0,"yet to
be
notifed",--
4871,5209.51.00,"Plain woven fabrics of cotton (printed; cotton
85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4872,5209.52.00,"Twill woven fabrics of cotton (printed; cotton
85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4873,5209.59.00,"Other woven fabrics of cotton (printed; cotton
85% or more; more than 200g/m2)",52.0,"yet to
be
notifed",--
4874,5210.00.00,"Woven cotton fab, un 85% cot, mmfmix, n/ov
200g/m2",52.0,"yet to
be
notifed",--
4875,5210.11.00,"Plain woven fabrics of cotton (unbleached;
cotton less than 85%; not more than
200g/m2)",52.0,"yet to
be
notifed",--
4876,5210.12.00,"Twill woven fabrics of cotton (unbleached;
cotton less than 85%; not more than
200g/m2)",52.0,"yet to
be
notifed",--
4877,5210.19.00,"Other woven fabrics of cotton (unbleached;
cotton less than 85%; not more than
200g/m2)",52.0,"yet to
be
notifed",--
4878,5210.21.00,"Plain woven fabrics of cotton (bleached;
cotton less than 85%; not more than
200g/m2)",52.0,"yet to
be
notifed",--
4879,5210.22.00,"Twill woven fabrics of cotton (bleached;
cotton less than 85%; not more than
200g/m2)",52.0,"yet to
be
notifed",--
4880,5211.00.00,"Woven cotton fabrics, un 85% cot, mmfmix,
ov 200g/m2",52.0,"yet to
be
notifed",--
4881,5211.11.00,"Plain woven fabrics of cotton (unbleached;
cotton less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
4882,5211.12.00,"Twill woven fabrics of cotton (unbleached;
cotton less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
4883,5211.19.00,"Other woven fabrics of cotton (unbleached;
cotton less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
4884,5211.21.00,"Plain woven fabrics of cotton (bleached;
cotton less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
4885,,,,,
4886,5211.22.00,"Twill woven fabrics of cotton (bleached;
cotton less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
4887,5211.29.00,"Other woven fabrics of cotton (bleached;
cotton less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
4888,5211.31.00,"Plain woven fabrics of cotton (dyed; cotton
less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
4889,5211.32.00,"Twill woven fabrics of cotton (dyed; cotton
less than 85%; more than 200g/m2)",52.0,"yet to
be
notifed",--
